dataset,model,method,train_n_way,test_n_way,n_shot,train_aug,gpu_id,debug,image_size,recons_decoder,recons_lambda,aug_type,aug_target,vaegan_exp,vaegan_step,zvar_lambda,fake_prob,vaegan_is_train,dropout_p,dropout_block_id,more_to_drop,min_gram,gram_bid,lambda_gram,split,save_iter,target_bn,n_test_candidates,sample_strategy,test_dropout_p,test_dropout_bid,csv_name,adaptation,frac_ensemble,candidate_metric,ensemble_strategy,bag_n_sub_support,boot_n_resample,num_classes,source_val_acc,train_acc_mean,epoch,val_acc_mean,val_acc_std,novel_acc_mean,novel_acc_std,finetune_dropout_p,Unnamed: 48
cross,ResNet18,protonet,5,5,5,True,0,False,,,0.0,,,,,,,False,0.0,3,,,,,novel,-1,False,,none,,,record.csv,False,,acc,vote,,,100,87.65,85.1625,492,63.73,9.66,64.08,8.89,,
cross,ResNet18,protonet,5,5,5,True,0,False,,,0.0,,,,,,,False,0.25,3,,,,,novel,-1,False,,none,,,record.csv,False,,acc,vote,,,100,87.2875,83.6625,529,63.52,9.68,63.32,8.92,,
cross,ResNet18,protonet,5,5,5,True,0,False,,,0.0,,,,,,,False,0.25,0,,,,,novel,-1,False,,none,,,record.csv,False,,acc,vote,,,100,85.3625,82.0625,456,62.99,10.07,63.73,9.01,,
cross,ResNet18,protonet,5,5,5,True,0,False,,,0.0,,,,,,,False,0.25,3,,,,,novel,-1,False,200.0,none,,,record.csv,False,0.05,loss,avg_prob,,,100,87.2875,83.6625,529,63.71,9.67,63.52,8.92,,
cross,ResNet18,protonet,5,5,5,True,0,False,,,0.0,,,,,,,False,0.25,3,,,,,novel,-1,False,200.0,none,,,record.csv,False,0.125,loss,avg_prob,,,100,87.2875,83.6625,529,63.61,9.72,63.46,8.95,,
cross,ResNet18,protonet,5,5,5,True,0,False,,,0.0,,,,,,,False,0.25,3,,,,,novel,-1,False,200.0,none,,,record.csv,False,0.25,loss,avg_prob,,,100,87.2875,83.6625,529,63.59,9.7,63.42,8.94,,
cross,ResNet18,protonet,5,5,5,True,0,False,,,0.0,,,,,,,False,0.25,3,,,,,novel,-1,False,200.0,none,,,record.csv,False,0.5,loss,avg_prob,,,100,87.2875,83.6625,529,63.6,9.71,63.37,8.93,,
cross,ResNet18,protonet,5,5,5,True,0,False,,,0.0,,,,,,,False,0.25,0,,,,,novel,-1,False,200.0,none,,,record.csv,False,0.05,loss,avg_prob,,,100,85.3625,82.0625,456,63.29,10.21,64.11,8.94,,
cross,ResNet18,protonet,5,5,5,True,0,False,,,0.0,,,,,,,False,0.25,0,,,,,novel,-1,False,200.0,none,,,record.csv,False,0.125,loss,avg_prob,,,100,85.3625,82.0625,456,63.26,10.12,64.13,8.9,,
cross,ResNet18,protonet,5,5,5,True,0,False,,,0.0,,,,,,,False,0.25,0,,,,,novel,-1,False,200.0,none,,,record.csv,False,0.25,loss,avg_prob,,,100,85.3625,82.0625,456,63.22,10.11,64.1,8.89,,
cross,ResNet18,protonet,5,5,5,True,0,False,,,0.0,,,,,,,False,0.25,0,,,,,novel,-1,False,200.0,none,,,record.csv,False,0.5,loss,avg_prob,,,100,85.3625,82.0625,456,63.26,10.12,64.01,8.89,,
cross,ResNet18,protonet,5,5,5,True,0,False,,,0.0,,,,,,,False,0.25,3,,l2,before_dropout,1.0,novel,-1,False,200.0,none,,,record.csv,False,0.05,loss,avg_prob,,,100,87.5875,83.7625,535,63.58,9.81,63.39,9.08,,
cross,ResNet18,protonet,5,5,5,True,0,False,,,0.0,,,,,,,False,0.25,3,,l2,before_dropout,1.0,novel,-1,False,200.0,none,,,record.csv,False,0.125,loss,avg_prob,,,100,87.5875,83.7625,535,63.56,9.83,63.44,9.13,,
cross,ResNet18,protonet,5,5,5,True,0,False,,,0.0,,,,,,,False,0.25,3,,l2,before_dropout,1.0,novel,-1,False,200.0,none,,,record.csv,False,0.25,loss,avg_prob,,,100,87.5875,83.7625,535,63.51,9.82,63.37,9.05,,
cross,ResNet18,protonet,5,5,5,True,0,False,,,0.0,,,,,,,False,0.25,3,,l2,before_dropout,1.0,novel,-1,False,200.0,none,,,record.csv,False,0.5,loss,avg_prob,,,100,87.5875,83.7625,535,63.52,9.76,63.36,9.04,,
cross,ResNet18,protonet,5,5,5,True,0,False,,,0.0,,,,,,,False,0.25,3,,l2,before_dropout,0.1,novel,-1,False,200.0,none,,,record.csv,False,0.05,loss,avg_prob,,,100,81.175,77.2625,295,59.9,9.7,60.31,9.16,,
cross,ResNet18,protonet,5,5,5,True,0,False,,,0.0,,,,,,,False,0.25,3,,l2,before_dropout,0.1,novel,-1,False,200.0,none,,,record.csv,False,0.125,loss,avg_prob,,,100,81.175,77.2625,295,59.9,9.75,60.28,9.13,,
cross,ResNet18,protonet,5,5,5,True,0,False,,,0.0,,,,,,,False,0.25,3,,l2,before_dropout,0.1,novel,-1,False,200.0,none,,,record.csv,False,0.25,loss,avg_prob,,,100,81.175,77.2625,295,59.85,9.72,60.25,9.09,,
cross,ResNet18,protonet,5,5,5,True,0,False,,,0.0,,,,,,,False,0.25,3,,l2,before_dropout,0.1,novel,-1,False,200.0,none,,,record.csv,False,0.5,loss,avg_prob,,,100,81.175,77.2625,295,59.74,9.76,60.23,9.13,,
cross,ResNet18,protonet,5,5,5,True,0,False,,,0.0,,,,,,,False,0.25,0,,l2,before_dropout,1.0,novel,-1,False,200.0,none,,,record.csv,False,0.05,loss,avg_prob,,,100,77.6625,73.9875,248,59.61,9.86,59.51,8.74,,
cross,ResNet18,protonet,5,5,5,True,0,False,,,0.0,,,,,,,False,0.25,0,,l2,before_dropout,1.0,novel,-1,False,200.0,none,,,record.csv,False,0.125,loss,avg_prob,,,100,77.6625,73.9875,248,59.53,9.79,59.54,8.81,,
cross,ResNet18,protonet,5,5,5,True,0,False,,,0.0,,,,,,,False,0.25,0,,l2,before_dropout,1.0,novel,-1,False,200.0,none,,,record.csv,False,0.25,loss,avg_prob,,,100,77.6625,73.9875,248,59.5,9.82,59.41,8.71,,
cross,ResNet18,protonet,5,5,5,True,0,False,,,0.0,,,,,,,False,0.25,0,,l2,before_dropout,1.0,novel,-1,False,200.0,none,,,record.csv,False,0.5,loss,avg_prob,,,100,77.6625,73.9875,248,59.47,9.8,59.38,8.77,,
cross,ResNet18,protonet,5,5,5,True,0,False,,,0.0,,,,,,,False,0.25,0,,l2,before_dropout,0.1,novel,-1,False,200.0,none,,,record.csv,False,0.05,loss,avg_prob,,,100,85.4625,81.0,442,61.78,10.11,62.1,8.66,,
cross,ResNet18,protonet,5,5,5,True,0,False,,,0.0,,,,,,,False,0.25,0,,l2,before_dropout,0.1,novel,-1,False,200.0,none,,,record.csv,False,0.125,loss,avg_prob,,,100,85.4625,81.0,442,61.72,10.03,62.11,8.74,,
cross,ResNet18,protonet,5,5,5,True,0,False,,,0.0,,,,,,,False,0.25,0,,l2,before_dropout,0.1,novel,-1,False,200.0,none,,,record.csv,False,0.25,loss,avg_prob,,,100,85.4625,81.0,442,61.69,10.01,62.1,8.76,,
cross,ResNet18,protonet,5,5,5,True,0,False,,,0.0,,,,,,,False,0.25,0,,l2,before_dropout,0.1,novel,-1,False,200.0,none,,,record.csv,False,0.5,loss,avg_prob,,,100,85.4625,81.0,442,61.7,10.06,62.02,8.74,,
cross,ResNet18,protonet,5,5,5,True,0,False,,,0.0,,,,,,,False,0.0,3,,,,,novel,-1,False,200.0,none,0.25,3.0,record.csv,False,0.05,loss,avg_prob,,,100,87.65,85.1625,492,63.93,9.57,64.21,8.85,,
cross,ResNet18,protonet,5,5,5,True,0,False,,,0.0,,,,,,,False,0.0,3,,,,,novel,-1,False,200.0,none,0.25,3.0,record.csv,False,0.125,loss,avg_prob,,,100,87.65,85.1625,492,63.88,9.55,64.18,8.89,,
cross,ResNet18,protonet,5,5,5,True,0,False,,,0.0,,,,,,,False,0.0,3,,,,,novel,-1,False,200.0,none,0.25,3.0,record.csv,False,0.25,loss,avg_prob,,,100,87.65,85.1625,492,63.83,9.6,64.15,8.9,,
cross,ResNet18,protonet,5,5,5,True,0,False,,,0.0,,,,,,,False,0.0,3,,,,,novel,-1,False,200.0,none,0.25,3.0,record.csv,False,0.5,loss,avg_prob,,,100,87.65,85.1625,492,63.9,9.63,64.15,8.88,,
