dataset,model,method,train_n_way,test_n_way,n_shot,train_aug,gpu_id,debug,image_size,recons_decoder,recons_lambda,aug_type,aug_target,vaegan_exp,vaegan_step,zvar_lambda,fake_prob,vaegan_is_train,dropout_p,dropout_block_id,more_to_drop,min_gram,gram_bid,lambda_gram,split,save_iter,target_bn,n_test_candidates,sample_strategy,test_dropout_p,test_dropout_bid,finetune_dropout_p,csv_name,adaptation,frac_ensemble,candidate_metric,ensemble_strategy,num_classes,source_val_acc,train_acc_mean,epoch,val_acc_mean,val_acc_std,novel_acc_mean,novel_acc_std
cross,ResNet18,baseline,5.0,5.0,5.0,False,0,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,,none,,,,record.csv,False,,acc,vote,100.0,88.125,71.75833333333334,6.0,66.71,9.77,67.94,8.56
cross,ResNet18,baseline,5.0,5.0,5.0,False,0,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,,none,,,0.25,record.csv,False,,acc,vote,100.0,88.125,71.75833333333334,6.0,66.94,9.79,68.07,8.52
cross,ResNet18,baseline,5.0,5.0,5.0,False,0,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,,none,,,0.5,record.csv,False,,acc,vote,100.0,88.125,71.75833333333334,6.0,67.11,9.75,68.27,8.49
cross,ResNet18,baseline,5.0,5.0,5.0,False,0,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,3.0,none,0.25,3.0,,record.csv,False,1.0,loss,avg_prob,100.0,88.125,71.75833333333334,6.0,66.0,9.35,67.92,8.41
cross,ResNet18,baseline,5.0,5.0,5.0,False,0,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,5.0,none,0.25,3.0,,record.csv,False,1.0,loss,avg_prob,100.0,88.125,71.75833333333334,6.0,66.49,9.75,67.78,8.55
cross,ResNet18,baseline,5.0,5.0,5.0,False,0,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,3.0,none,0.25,0.0,,record.csv,False,1.0,loss,avg_prob,100.0,88.125,71.75833333333334,6.0,63.08,9.7,64.26,8.56
cross,ResNet18,baseline,5.0,5.0,5.0,False,0,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,5.0,none,0.25,0.0,,record.csv,False,1.0,loss,avg_prob,100.0,88.125,71.75833333333334,6.0,62.59,9.78,63.65,8.74
cross,ResNet18,baseline,5.0,5.0,5.0,False,0,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,3.0,none,0.5,3.0,,record.csv,False,1.0,loss,avg_prob,100.0,88.125,71.75833333333334,6.0,65.5,9.26,67.59,8.41
cross,ResNet18,baseline,5.0,5.0,5.0,False,0,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,5.0,none,0.5,3.0,,record.csv,False,1.0,loss,avg_prob,100.0,88.125,71.75833333333334,6.0,66.44,9.6,67.51,8.49
cross,ResNet18,baseline,5.0,5.0,5.0,False,0,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,3.0,none,0.5,0.0,,record.csv,False,1.0,loss,avg_prob,100.0,88.125,71.75833333333334,6.0,55.86,9.49,55.85,8.5
cross,ResNet18,baseline,5.0,5.0,5.0,False,0,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,5.0,none,0.5,0.0,,record.csv,False,1.0,loss,avg_prob,100.0,88.125,71.75833333333334,6.0,57.57,9.79,57.68,8.77
cross,ResNet18,baseline,5.0,5.0,5.0,False,0,False,,,0.0,,,,,,,False,0.25,3.0,,,,,novel,-1.0,False,,none,,,,record.csv,False,,acc,vote,100.0,83.6375,57.13666666666666,5.0,67.4,9.5,67.33,9.09
cross,ResNet18,baseline,5.0,5.0,5.0,False,0,False,,,0.0,,,,,,,False,0.25,0.0,,,,,novel,-1.0,False,,none,,,,record.csv,False,,acc,vote,100.0,80.2875,53.70166666666667,5.0,66.72,9.47,66.68,9.17
cross,ResNet18,baseline,5.0,5.0,5.0,False,0,False,,,0.0,,,,,,,False,0.25,3.0,,,,,novel,-1.0,False,3.0,none,,,,record.csv,False,1.0,loss,avg_prob,100.0,83.6375,57.13666666666666,5.0,66.86,9.48,67.93,8.73
cross,ResNet18,baseline,5.0,5.0,5.0,False,0,False,,,0.0,,,,,,,False,0.25,3.0,,,,,novel,-1.0,False,5.0,none,,,,record.csv,False,1.0,loss,avg_prob,100.0,83.6375,57.13666666666666,5.0,67.33,9.33,67.46,8.9
cross,ResNet18,baseline,5.0,5.0,5.0,False,0,False,,,0.0,,,,,,,False,0.25,0.0,,,,,novel,-1.0,False,3.0,none,,,,record.csv,False,1.0,loss,avg_prob,100.0,80.2875,53.70166666666667,5.0,66.07,9.36,67.22,8.52
cross,ResNet18,baseline,5.0,5.0,5.0,False,0,False,,,0.0,,,,,,,False,0.25,0.0,,,,,novel,-1.0,False,5.0,none,,,,record.csv,False,1.0,loss,avg_prob,100.0,80.2875,53.70166666666667,5.0,66.78,9.45,66.87,9.05
cross,ResNet18,baseline,5.0,5.0,5.0,False,0,False,,,0.0,,,,,,,False,0.25,3.0,,l2,before_dropout,1.0,novel,-1.0,False,3.0,none,,,,record.csv,False,1.0,loss,avg_prob,100.0,85.1625,57.14666666666667,5.0,66.26,9.73,68.08,8.07
cross,ResNet18,baseline,5.0,5.0,5.0,False,0,False,,,0.0,,,,,,,False,0.25,3.0,,l2,before_dropout,1.0,novel,-1.0,False,5.0,none,,,,record.csv,False,1.0,loss,avg_prob,100.0,85.1625,57.14666666666667,5.0,66.65,9.56,67.45,8.6
cross,ResNet18,baseline,5.0,5.0,5.0,False,0,False,,,0.0,,,,,,,False,0.25,3.0,,l2,before_dropout,0.1,novel,-1.0,False,3.0,none,,,,record.csv,False,1.0,loss,avg_prob,100.0,89.425,64.865,6.0,65.72,9.76,67.01,8.82
cross,ResNet18,baseline,5.0,5.0,5.0,False,0,False,,,0.0,,,,,,,False,0.25,3.0,,l2,before_dropout,0.1,novel,-1.0,False,5.0,none,,,,record.csv,False,1.0,loss,avg_prob,100.0,89.425,64.865,6.0,66.19,9.63,66.69,8.89
cross,ResNet18,baseline,5.0,5.0,5.0,False,0,False,,,0.0,,,,,,,False,0.25,0.0,,l2,before_dropout,1.0,novel,-1.0,False,3.0,none,,,,record.csv,False,1.0,loss,avg_prob,100.0,83.2625,59.49,6.0,65.86,9.64,67.37,8.75
cross,ResNet18,baseline,5.0,5.0,5.0,False,0,False,,,0.0,,,,,,,False,0.25,0.0,,l2,before_dropout,1.0,novel,-1.0,False,5.0,none,,,,record.csv,False,1.0,loss,avg_prob,100.0,83.2625,59.49,6.0,66.71,9.75,66.98,8.87
cross,ResNet18,baseline,5.0,5.0,5.0,False,0,False,,,0.0,,,,,,,False,0.25,0.0,,l2,before_dropout,0.1,novel,-1.0,False,3.0,none,,,,record.csv,False,1.0,loss,avg_prob,100.0,80.7125,54.46166666666666,5.0,66.35,9.58,67.51,8.52
cross,ResNet18,baseline,5.0,5.0,5.0,False,0,False,,,0.0,,,,,,,False,0.25,0.0,,l2,before_dropout,0.1,novel,-1.0,False,5.0,none,,,,record.csv,False,1.0,loss,avg_prob,100.0,80.7125,54.46166666666666,5.0,66.58,9.81,67.49,8.93
