dataset,model,method,train_n_way,test_n_way,n_shot,train_aug,gpu_id,debug,image_size,recons_decoder,recons_lambda,aug_type,aug_target,vaegan_exp,vaegan_step,zvar_lambda,fake_prob,vaegan_is_train,dropout_p,dropout_block_id,more_to_drop,min_gram,gram_bid,lambda_gram,split,save_iter,target_bn,n_test_candidates,sample_strategy,test_dropout_p,test_dropout_bid,finetune_dropout_p,csv_name,adaptation,frac_ensemble,candidate_metric,ensemble_strategy,num_classes,source_val_acc,train_acc_mean,epoch,val_acc_mean,val_acc_std,novel_acc_mean,novel_acc_std
cross_char,Conv4Thin2,protonet,5.0,5.0,5.0,False,1,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,,none,,,,record.csv,False,,acc,vote,1597.0,98.46666666666664,99.05333333333334,29.0,82.26,8.43,82.51,8.53
cross_char,Conv4Thin2,protonet,5.0,5.0,5.0,False,1,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,200.0,none,0.25,3.0,,record.csv,False,0.05,loss,avg_prob,1597.0,98.46666666666664,99.05333333333334,29.0,82.97,8.31,83.27,8.46
cross_char,Conv4Thin2,protonet,5.0,5.0,5.0,False,1,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,200.0,none,0.25,3.0,,record.csv,False,0.125,loss,avg_prob,1597.0,98.46666666666664,99.05333333333334,29.0,83.03,8.25,83.21,8.42
cross_char,Conv4Thin2,protonet,5.0,5.0,5.0,False,1,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,200.0,none,0.25,3.0,,record.csv,False,0.25,loss,avg_prob,1597.0,98.46666666666664,99.05333333333334,29.0,82.95,8.26,83.2,8.44
cross_char,Conv4Thin2,protonet,5.0,5.0,5.0,False,1,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,200.0,none,0.25,3.0,,record.csv,False,0.5,loss,avg_prob,1597.0,98.46666666666664,99.05333333333334,29.0,82.7,8.34,82.99,8.43
cross_char,Conv4Thin2,protonet,5.0,5.0,5.0,False,1,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,200.0,none,0.25,0.0,,record.csv,False,0.05,loss,avg_prob,1597.0,98.46666666666664,99.05333333333334,29.0,83.82,8.13,84.26,8.24
cross_char,Conv4Thin2,protonet,5.0,5.0,5.0,False,1,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,200.0,none,0.25,0.0,,record.csv,False,0.125,loss,avg_prob,1597.0,98.46666666666664,99.05333333333334,29.0,83.78,8.19,84.22,8.25
cross_char,Conv4Thin2,protonet,5.0,5.0,5.0,False,1,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,200.0,none,0.25,0.0,,record.csv,False,0.25,loss,avg_prob,1597.0,98.46666666666664,99.05333333333334,29.0,83.63,8.27,84.01,8.34
cross_char,Conv4Thin2,protonet,5.0,5.0,5.0,False,1,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,200.0,none,0.25,0.0,,record.csv,False,0.5,loss,avg_prob,1597.0,98.46666666666664,99.05333333333334,29.0,83.24,8.28,83.65,8.45
cross_char,Conv4Thin2,protonet,5.0,5.0,5.0,False,1,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,200.0,none,0.5,3.0,,record.csv,False,0.05,loss,avg_prob,1597.0,98.46666666666664,99.05333333333334,29.0,82.74,8.41,82.88,8.35
cross_char,Conv4Thin2,protonet,5.0,5.0,5.0,False,1,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,200.0,none,0.5,3.0,,record.csv,False,0.125,loss,avg_prob,1597.0,98.46666666666664,99.05333333333334,29.0,82.98,8.34,83.29,8.33
cross_char,Conv4Thin2,protonet,5.0,5.0,5.0,False,1,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,200.0,none,0.5,3.0,,record.csv,False,0.25,loss,avg_prob,1597.0,98.46666666666664,99.05333333333334,29.0,83.16,8.22,83.48,8.34
cross_char,Conv4Thin2,protonet,5.0,5.0,5.0,False,1,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,200.0,none,0.5,3.0,,record.csv,False,0.5,loss,avg_prob,1597.0,98.46666666666664,99.05333333333334,29.0,82.99,8.24,83.31,8.44
cross_char,Conv4Thin2,protonet,5.0,5.0,5.0,False,1,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,200.0,none,0.5,0.0,,record.csv,False,0.05,loss,avg_prob,1597.0,98.46666666666664,99.05333333333334,29.0,83.63,8.17,84.84,8.14
cross_char,Conv4Thin2,protonet,5.0,5.0,5.0,False,1,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,200.0,none,0.5,0.0,,record.csv,False,0.125,loss,avg_prob,1597.0,98.46666666666664,99.05333333333334,29.0,83.8,8.22,84.92,8.18
cross_char,Conv4Thin2,protonet,5.0,5.0,5.0,False,1,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,200.0,none,0.5,0.0,,record.csv,False,0.25,loss,avg_prob,1597.0,98.46666666666664,99.05333333333334,29.0,83.75,8.1,84.7,8.19
cross_char,Conv4Thin2,protonet,5.0,5.0,5.0,False,1,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,200.0,none,0.5,0.0,,record.csv,False,0.5,loss,avg_prob,1597.0,98.46666666666664,99.05333333333334,29.0,83.39,8.11,84.26,8.35
cross_char,Conv4Thin2,protonet,5.0,5.0,5.0,False,1,False,,,0.0,,,,,,,False,0.25,3.0,,,,,novel,-1.0,False,,none,,,,record.csv,False,,acc,vote,1597.0,98.95999999999998,96.37333333333336,160.0,84.37,8.35,86.99,8.0
cross_char,Conv4Thin2,protonet,5.0,5.0,5.0,False,1,False,,,0.0,,,,,,,False,0.25,0.0,,,,,novel,-1.0,False,,none,,,,record.csv,False,,acc,vote,1597.0,99.09333333333332,99.44,114.0,83.61,8.65,86.01,7.8
cross_char,Conv4Thin2,protonet,5.0,5.0,5.0,False,1,False,,,0.0,,,,,,,False,0.25,3.0,,,,,novel,-1.0,False,200.0,none,,,,record.csv,False,0.05,loss,avg_prob,1597.0,98.95999999999998,96.37333333333336,160.0,84.61,8.35,87.38,7.74
cross_char,Conv4Thin2,protonet,5.0,5.0,5.0,False,1,False,,,0.0,,,,,,,False,0.25,3.0,,,,,novel,-1.0,False,200.0,none,,,,record.csv,False,0.125,loss,avg_prob,1597.0,98.95999999999998,96.37333333333336,160.0,84.63,8.38,87.42,7.82
cross_char,Conv4Thin2,protonet,5.0,5.0,5.0,False,1,False,,,0.0,,,,,,,False,0.25,3.0,,,,,novel,-1.0,False,200.0,none,,,,record.csv,False,0.25,loss,avg_prob,1597.0,98.95999999999998,96.37333333333336,160.0,84.62,8.35,87.36,7.88
cross_char,Conv4Thin2,protonet,5.0,5.0,5.0,False,1,False,,,0.0,,,,,,,False,0.25,3.0,,,,,novel,-1.0,False,200.0,none,,,,record.csv,False,0.5,loss,avg_prob,1597.0,98.95999999999998,96.37333333333336,160.0,84.53,8.41,87.18,7.92
cross_char,Conv4Thin2,protonet,5.0,5.0,5.0,False,1,False,,,0.0,,,,,,,False,0.25,0.0,,,,,novel,-1.0,False,200.0,none,,,,record.csv,False,0.05,loss,avg_prob,1597.0,99.09333333333332,99.44,114.0,84.04,8.68,86.64,7.66
cross_char,Conv4Thin2,protonet,5.0,5.0,5.0,False,1,False,,,0.0,,,,,,,False,0.25,0.0,,,,,novel,-1.0,False,200.0,none,,,,record.csv,False,0.125,loss,avg_prob,1597.0,99.09333333333332,99.44,114.0,84.0,8.67,86.53,7.69
cross_char,Conv4Thin2,protonet,5.0,5.0,5.0,False,1,False,,,0.0,,,,,,,False,0.25,0.0,,,,,novel,-1.0,False,200.0,none,,,,record.csv,False,0.25,loss,avg_prob,1597.0,99.09333333333332,99.44,114.0,83.95,8.59,86.42,7.73
cross_char,Conv4Thin2,protonet,5.0,5.0,5.0,False,1,False,,,0.0,,,,,,,False,0.25,0.0,,,,,novel,-1.0,False,200.0,none,,,,record.csv,False,0.5,loss,avg_prob,1597.0,99.09333333333332,99.44,114.0,83.88,8.55,86.31,7.73
