dataset,model,method,train_n_way,test_n_way,n_shot,train_aug,gpu_id,debug,image_size,recons_decoder,recons_lambda,aug_type,aug_target,vaegan_exp,vaegan_step,zvar_lambda,fake_prob,vaegan_is_train,dropout_p,dropout_block_id,more_to_drop,min_gram,gram_bid,lambda_gram,split,save_iter,target_bn,n_test_candidates,sample_strategy,test_dropout_p,test_dropout_bid,finetune_dropout_p,csv_name,adaptation,frac_ensemble,candidate_metric,ensemble_strategy,num_classes,source_val_acc,train_acc_mean,epoch,val_acc_mean,val_acc_std,novel_acc_mean,novel_acc_std
cross,ResNet18Thin2,baseline,5.0,5.0,5.0,False,0,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,,none,,,,record.csv,False,,acc,vote,100.0,83.15,56.12666666666666,5.0,65.78,9.72,65.83,9.28
cross,ResNet18Thin2,baseline,5.0,5.0,5.0,False,0,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,,none,,,0.25,record.csv,False,,acc,vote,100.0,83.15,56.12666666666666,5.0,65.98,9.8,66.2,9.27
cross,ResNet18Thin2,baseline,5.0,5.0,5.0,False,0,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,,none,,,0.5,record.csv,False,,acc,vote,100.0,83.15,56.12666666666666,5.0,66.44,9.75,66.45,9.26
cross,ResNet18Thin2,baseline,5.0,5.0,5.0,False,0,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,3.0,none,0.25,3.0,,record.csv,False,1.0,loss,avg_prob,100.0,83.15,56.12666666666666,5.0,65.24,9.67,66.01,8.51
cross,ResNet18Thin2,baseline,5.0,5.0,5.0,False,0,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,5.0,none,0.25,3.0,,record.csv,False,1.0,loss,avg_prob,100.0,83.15,56.12666666666666,5.0,65.68,9.78,65.56,8.95
cross,ResNet18Thin2,baseline,5.0,5.0,5.0,False,0,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,3.0,none,0.25,0.0,,record.csv,False,1.0,loss,avg_prob,100.0,83.15,56.12666666666666,5.0,63.75,9.73,64.85,8.7
cross,ResNet18Thin2,baseline,5.0,5.0,5.0,False,0,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,5.0,none,0.25,0.0,,record.csv,False,1.0,loss,avg_prob,100.0,83.15,56.12666666666666,5.0,64.7,10.08,65.02,8.95
cross,ResNet18Thin2,baseline,5.0,5.0,5.0,False,0,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,3.0,none,0.5,3.0,,record.csv,False,1.0,loss,avg_prob,100.0,83.15,56.12666666666666,5.0,64.37,9.69,65.15,8.45
cross,ResNet18Thin2,baseline,5.0,5.0,5.0,False,0,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,5.0,none,0.5,3.0,,record.csv,False,1.0,loss,avg_prob,100.0,83.15,56.12666666666666,5.0,65.16,9.77,64.89,8.82
cross,ResNet18Thin2,baseline,5.0,5.0,5.0,False,0,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,3.0,none,0.5,0.0,,record.csv,False,1.0,loss,avg_prob,100.0,83.15,56.12666666666666,5.0,60.86,9.69,61.38,8.69
cross,ResNet18Thin2,baseline,5.0,5.0,5.0,False,0,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,5.0,none,0.5,0.0,,record.csv,False,1.0,loss,avg_prob,100.0,83.15,56.12666666666666,5.0,61.48,9.77,61.55,8.7
cross,ResNet18Thin2,baseline,5.0,5.0,5.0,False,0,False,,,0.0,,,,,,,False,0.25,3.0,,,,,novel,-1.0,False,,none,,,,record.csv,False,,acc,vote,100.0,86.3,55.56666666666667,6.0,65.65,9.47,65.94,8.9
cross,ResNet18Thin2,baseline,5.0,5.0,5.0,False,0,False,,,0.0,,,,,,,False,0.25,0.0,,,,,novel,-1.0,False,,none,,,,record.csv,False,,acc,vote,100.0,78.675,48.12833333333333,5.0,65.45,9.75,65.07,8.79
cross,ResNet18Thin2,baseline,5.0,5.0,5.0,False,0,False,,,0.0,,,,,,,False,0.25,3.0,,,,,novel,-1.0,False,3.0,none,,,,record.csv,False,1.0,loss,avg_prob,100.0,86.3,55.56666666666667,6.0,64.11,9.2,65.5,8.92
cross,ResNet18Thin2,baseline,5.0,5.0,5.0,False,0,False,,,0.0,,,,,,,False,0.25,3.0,,,,,novel,-1.0,False,5.0,none,,,,record.csv,False,1.0,loss,avg_prob,100.0,86.3,55.56666666666667,6.0,64.75,9.46,65.93,8.97
cross,ResNet18Thin2,baseline,5.0,5.0,5.0,False,0,False,,,0.0,,,,,,,False,0.25,0.0,,,,,novel,-1.0,False,3.0,none,,,,record.csv,False,1.0,loss,avg_prob,100.0,78.675,48.12833333333333,5.0,65.08,9.51,65.58,8.52
cross,ResNet18Thin2,baseline,5.0,5.0,5.0,False,0,False,,,0.0,,,,,,,False,0.25,0.0,,,,,novel,-1.0,False,5.0,none,,,,record.csv,False,1.0,loss,avg_prob,100.0,78.675,48.12833333333333,5.0,65.38,9.7,65.57,8.76
cross,ResNet18Thin2,baseline,5.0,5.0,5.0,False,0,False,,,0.0,,,,,,,False,0.25,3.0,,l2,before_dropout,1.0,novel,-1.0,False,3.0,none,,,,record.csv,False,1.0,loss,avg_prob,100.0,83.9375,50.29,5.0,66.38,9.56,67.08,8.54
cross,ResNet18Thin2,baseline,5.0,5.0,5.0,False,0,False,,,0.0,,,,,,,False,0.25,3.0,,l2,before_dropout,1.0,novel,-1.0,False,5.0,none,,,,record.csv,False,1.0,loss,avg_prob,100.0,83.9375,50.29,5.0,66.22,9.67,66.82,8.5
cross,ResNet18Thin2,baseline,5.0,5.0,5.0,False,0,False,,,0.0,,,,,,,False,0.25,3.0,,l2,before_dropout,0.1,novel,-1.0,False,3.0,none,,,,record.csv,False,1.0,loss,avg_prob,100.0,83.0375,49.98166666666667,5.0,64.87,9.54,66.52,8.67
cross,ResNet18Thin2,baseline,5.0,5.0,5.0,False,0,False,,,0.0,,,,,,,False,0.25,3.0,,l2,before_dropout,0.1,novel,-1.0,False,5.0,none,,,,record.csv,False,1.0,loss,avg_prob,100.0,83.0375,49.98166666666667,5.0,65.49,9.54,66.2,8.89
cross,ResNet18Thin2,baseline,5.0,5.0,5.0,False,0,False,,,0.0,,,,,,,False,0.25,0.0,,l2,before_dropout,1.0,novel,-1.0,False,3.0,none,,,,record.csv,False,1.0,loss,avg_prob,100.0,80.2625,52.27333333333333,6.0,63.66,9.37,64.59,8.75
cross,ResNet18Thin2,baseline,5.0,5.0,5.0,False,0,False,,,0.0,,,,,,,False,0.25,0.0,,l2,before_dropout,1.0,novel,-1.0,False,5.0,none,,,,record.csv,False,1.0,loss,avg_prob,100.0,80.2625,52.27333333333333,6.0,64.67,9.9,64.4,8.81
cross,ResNet18Thin2,baseline,5.0,5.0,5.0,False,0,False,,,0.0,,,,,,,False,0.25,0.0,,l2,before_dropout,0.1,novel,-1.0,False,3.0,none,,,,record.csv,False,1.0,loss,avg_prob,100.0,79.15,48.13666666666666,5.0,64.52,9.47,65.65,8.75
cross,ResNet18Thin2,baseline,5.0,5.0,5.0,False,0,False,,,0.0,,,,,,,False,0.25,0.0,,l2,before_dropout,0.1,novel,-1.0,False,5.0,none,,,,record.csv,False,1.0,loss,avg_prob,100.0,79.15,48.13666666666666,5.0,65.06,9.64,65.27,9.05
cross,ResNet18Thin2,baseline,5.0,5.0,5.0,False,0,False,,,0.0,,,,,,,False,0.5,3.0,,l2,before_dropout,1.0,novel,-1.0,False,3.0,none,,,,record.csv,False,1.0,loss,avg_prob,100.0,77.275,37.723333333333336,4.0,62.44,9.42,63.52,8.26
cross,ResNet18Thin2,baseline,5.0,5.0,5.0,False,0,False,,,0.0,,,,,,,False,0.5,3.0,,l2,before_dropout,1.0,novel,-1.0,False,5.0,none,,,,record.csv,False,1.0,loss,avg_prob,100.0,77.275,37.723333333333336,4.0,62.7,9.75,63.25,8.49
cross,ResNet18Thin2,baseline,5.0,5.0,5.0,False,0,False,,,0.0,,,,,,,False,0.5,3.0,,l2,before_dropout,0.1,novel,-1.0,False,3.0,none,,,,record.csv,False,1.0,loss,avg_prob,100.0,80.775,42.943333333333335,5.0,63.56,9.68,65.0,8.62
cross,ResNet18Thin2,baseline,5.0,5.0,5.0,False,0,False,,,0.0,,,,,,,False,0.5,3.0,,l2,before_dropout,0.1,novel,-1.0,False,5.0,none,,,,record.csv,False,1.0,loss,avg_prob,100.0,80.775,42.943333333333335,5.0,63.86,9.90,64.79,8.71
