dataset,model,method,train_n_way,test_n_way,n_shot,train_aug,gpu_id,debug,image_size,recons_decoder,recons_lambda,aug_type,aug_target,vaegan_exp,vaegan_step,zvar_lambda,fake_prob,vaegan_is_train,dropout_p,dropout_block_id,more_to_drop,min_gram,gram_bid,lambda_gram,split,save_iter,target_bn,n_test_candidates,sample_strategy,test_dropout_p,test_dropout_bid,finetune_dropout_p,csv_name,adaptation,frac_ensemble,candidate_metric,ensemble_strategy,num_classes,source_val_acc,train_acc_mean,epoch,val_acc_mean,val_acc_std,novel_acc_mean,novel_acc_std
cross_char_quarter,Conv4,protonet,5,5,5,False,0,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,,none,,,,record.csv,False,,acc,vote,350,96.33333333,99.69333333,104,81.89,8.38,83.78,8.09
cross_char_quarter,Conv4,protonet,5,5,5,False,0,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,200.0,none,0.25,3.0,,record.csv,False,,loss,avg_prob,350,96.33333333,99.69333333,104,81.17,8.73,83.6,8.06
cross_char_quarter,Conv4,protonet,5,5,5,False,0,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,200.0,none,0.25,3.0,,record.csv,False,0.05,loss,avg_prob,350,96.33333333,99.69333333,104,82.29,8.27,84.29,8.0
cross_char_quarter,Conv4,protonet,5,5,5,False,0,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,200.0,none,0.25,3.0,,record.csv,False,0.125,loss,avg_prob,350,96.33333333,99.69333333,104,82.3,8.28,84.27,7.98
cross_char_quarter,Conv4,protonet,5,5,5,False,0,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,200.0,none,0.25,3.0,,record.csv,False,0.25,loss,avg_prob,350,96.33333333,99.69333333,104,82.21,8.37,84.17,8.0
cross_char_quarter,Conv4,protonet,5,5,5,False,0,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,200.0,none,0.25,3.0,,record.csv,False,0.5,loss,avg_prob,350,96.33333333,99.69333333,104,82.14,8.27,84.02,8.01
cross_char_quarter,Conv4,protonet,5,5,5,False,0,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,200.0,none,0.25,0.0,,record.csv,False,,loss,avg_prob,350,96.33333333,99.69333333,104,81.81,8.27,83.88,8.51
cross_char_quarter,Conv4,protonet,5,5,5,False,0,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,200.0,none,0.25,0.0,,record.csv,False,0.05,loss,avg_prob,350,96.33333333,99.69333333,104,82.63,8.22,84.6,8.15
cross_char_quarter,Conv4,protonet,5,5,5,False,0,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,200.0,none,0.25,0.0,,record.csv,False,0.125,loss,avg_prob,350,96.33333333,99.69333333,104,82.64,8.28,84.58,8.18
cross_char_quarter,Conv4,protonet,5,5,5,False,0,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,200.0,none,0.25,0.0,,record.csv,False,0.25,loss,avg_prob,350,96.33333333,99.69333333,104,82.63,8.29,84.55,8.09
