dataset,model,method,train_n_way,test_n_way,n_shot,train_aug,gpu_id,debug,image_size,recons_decoder,recons_lambda,aug_type,aug_target,vaegan_exp,vaegan_step,zvar_lambda,fake_prob,vaegan_is_train,dropout_p,dropout_block_id,more_to_drop,min_gram,gram_bid,lambda_gram,split,save_iter,target_bn,n_test_candidates,sample_strategy,test_dropout_p,test_dropout_bid,finetune_dropout_p,csv_name,adaptation,frac_ensemble,candidate_metric,ensemble_strategy,num_classes,source_val_acc,train_acc_mean,epoch,val_acc_mean,val_acc_std,novel_acc_mean,novel_acc_std
cross_char_base3lang,Conv4,protonet,5,5,5,False,0,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,,none,,,,record.csv,False,,acc,vote,69,91.89333333,99.98666667,24,77.65,8.49,79.72,8.43
cross_char_base3lang,Conv4,protonet,5,5,5,False,0,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,200.0,none,0.25,3.0,,record.csv,False,,loss,avg_prob,69,91.89333333,99.98666667,24,76.9,8.66,79.4,8.49
cross_char_base3lang,Conv4,protonet,5,5,5,False,0,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,200.0,none,0.25,3.0,,record.csv,False,0.05,loss,avg_prob,69,91.89333333,99.98666667,24,78.18,8.37,80.42,8.41
cross_char_base3lang,Conv4,protonet,5,5,5,False,0,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,200.0,none,0.25,3.0,,record.csv,False,0.125,loss,avg_prob,69,91.89333333,99.98666667,24,78.26,8.44,80.27,8.31
cross_char_base3lang,Conv4,protonet,5,5,5,False,0,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,200.0,none,0.25,3.0,,record.csv,False,0.25,loss,avg_prob,69,91.89333333,99.98666667,24,78.19,8.36,80.18,8.38
cross_char_base3lang,Conv4,protonet,5,5,5,False,0,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,200.0,none,0.25,3.0,,record.csv,False,0.5,loss,avg_prob,69,91.89333333,99.98666667,24,78.08,8.39,80.06,8.43
cross_char_base3lang,Conv4,protonet,5,5,5,False,0,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,200.0,none,0.25,0.0,,record.csv,False,,loss,avg_prob,69,91.89333333,99.98666667,24,78.55,8.45,80.81,8.32
cross_char_base3lang,Conv4,protonet,5,5,5,False,0,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,200.0,none,0.25,0.0,,record.csv,False,0.05,loss,avg_prob,69,91.89333333,99.98666667,24,79.08,8.33,81.41,8.32
cross_char_base3lang,Conv4,protonet,5,5,5,False,0,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,200.0,none,0.25,0.0,,record.csv,False,0.125,loss,avg_prob,69,91.89333333,99.98666667,24,78.96,8.35,81.32,8.22
cross_char_base3lang,Conv4,protonet,5,5,5,False,0,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,200.0,none,0.25,0.0,,record.csv,False,0.25,loss,avg_prob,69,91.89333333,99.98666667,24,78.77,8.37,81.09,8.23
cross_char_base3lang,Conv4,protonet,5,5,5,False,0,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,200.0,none,0.25,0.0,,record.csv,False,0.5,loss,avg_prob,69,91.89333333,99.98666667,24,78.4,8.25,80.61,8.27
