dataset,model,method,train_n_way,test_n_way,n_shot,train_aug,gpu_id,debug,image_size,recons_decoder,recons_lambda,aug_type,aug_target,vaegan_exp,vaegan_step,zvar_lambda,fake_prob,vaegan_is_train,dropout_p,dropout_block_id,more_to_drop,min_gram,gram_bid,lambda_gram,split,save_iter,target_bn,n_test_candidates,sample_strategy,test_dropout_p,test_dropout_bid,finetune_dropout_p,csv_name,adaptation,frac_ensemble,candidate_metric,ensemble_strategy,bag_n_sub_support,boot_n_resample,num_classes,source_val_acc,train_acc_mean,epoch,val_acc_mean,val_acc_std,novel_acc_mean,novel_acc_std
cross_char_base1lang,Conv4,protonet,5,5,5,False,1,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,,none,,,,record.csv,False,,acc,vote,,,20,87.08,100.0,88,73.19,8.7,74.49,8.61
cross_char_base1lang,Conv4,protonet,5,5,5,False,1,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,200.0,none,0.25,3.0,,record.csv,False,,loss,avg_prob,,,20,87.08,100.0,88,72.34,9.02,73.53,8.89
cross_char_base1lang,Conv4,protonet,5,5,5,False,1,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,200.0,none,0.25,3.0,,record.csv,False,0.05,loss,avg_prob,,,20,87.08,100.0,88,73.78,8.63,74.96,8.57
cross_char_base1lang,Conv4,protonet,5,5,5,False,1,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,200.0,none,0.25,3.0,,record.csv,False,0.125,loss,avg_prob,,,20,87.08,100.0,88,73.74,8.52,74.93,8.5
cross_char_base1lang,Conv4,protonet,5,5,5,False,1,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,200.0,none,0.25,3.0,,record.csv,False,0.25,loss,avg_prob,,,20,87.08,100.0,88,73.61,8.61,74.94,8.48
cross_char_base1lang,Conv4,protonet,5,5,5,False,1,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,200.0,none,0.25,3.0,,record.csv,False,0.5,loss,avg_prob,,,20,87.08,100.0,88,73.47,8.58,74.82,8.64
cross_char_base1lang,Conv4,protonet,5,5,5,False,1,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,200.0,none,0.25,0.0,,record.csv,False,,loss,avg_prob,,,20,87.08,100.0,88,73.46,8.77,75.11,8.71
cross_char_base1lang,Conv4,protonet,5,5,5,False,1,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,200.0,none,0.25,0.0,,record.csv,False,0.05,loss,avg_prob,,,20,87.08,100.0,88,75.63,8.51,77.03,8.55
cross_char_base1lang,Conv4,protonet,5,5,5,False,1,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,200.0,none,0.25,0.0,,record.csv,False,0.125,loss,avg_prob,,,20,87.08,100.0,88,75.54,8.67,77.01,8.63
cross_char_base1lang,Conv4,protonet,5,5,5,False,1,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,200.0,none,0.25,0.0,,record.csv,False,0.25,loss,avg_prob,,,20,87.08,100.0,88,75.46,8.62,76.9,8.67
cross_char_base1lang,Conv4,protonet,5,5,5,False,1,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,200.0,none,0.25,0.0,,record.csv,False,0.5,loss,avg_prob,,,20,87.08,100.0,88,75.26,8.57,76.6,8.62
cross_char_base1lang,Conv4,protonet,5,5,5,False,1,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,200.0,none,0.25,-1.0,,record.csv,False,,loss,avg_prob,,,20,87.08,100.0,88,71.6,9.1,73.44,8.92
cross_char_base1lang,Conv4,protonet,5,5,5,False,1,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,200.0,none,0.25,-1.0,,record.csv,False,0.05,loss,avg_prob,,,20,87.08,100.0,88,78.36,8.53,80.15,8.32
cross_char_base1lang,Conv4,protonet,5,5,5,False,1,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,200.0,none,0.25,-1.0,,record.csv,False,0.125,loss,avg_prob,,,20,87.08,100.0,88,78.82,8.56,80.58,8.14
cross_char_base1lang,Conv4,protonet,5,5,5,False,1,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,200.0,none,0.25,-1.0,,record.csv,False,0.25,loss,avg_prob,,,20,87.08,100.0,88,78.75,8.51,80.53,8.26
cross_char_base1lang,Conv4,protonet,5,5,5,False,1,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,200.0,none,0.25,-1.0,,record.csv,False,0.5,loss,avg_prob,,,20,87.08,100.0,88,78.68,8.56,80.33,8.29
cross_char_base1lang,Conv4,protonet,5,5,5,False,1,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,200.0,none,0.5,3.0,,record.csv,False,,loss,avg_prob,,,20,87.08,100.0,88,69.61,8.98,70.77,9.21
cross_char_base1lang,Conv4,protonet,5,5,5,False,1,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,200.0,none,0.5,3.0,,record.csv,False,0.05,loss,avg_prob,,,20,87.08,100.0,88,73.23,8.65,74.88,8.45
cross_char_base1lang,Conv4,protonet,5,5,5,False,1,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,200.0,none,0.5,3.0,,record.csv,False,0.125,loss,avg_prob,,,20,87.08,100.0,88,73.67,8.61,75.02,8.54
cross_char_base1lang,Conv4,protonet,5,5,5,False,1,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,200.0,none,0.5,3.0,,record.csv,False,0.25,loss,avg_prob,,,20,87.08,100.0,88,73.66,8.62,75.1,8.53
cross_char_base1lang,Conv4,protonet,5,5,5,False,1,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,200.0,none,0.5,3.0,,record.csv,False,0.5,loss,avg_prob,,,20,87.08,100.0,88,73.61,8.61,74.9,8.58
cross_char_base1lang,Conv4,protonet,5,5,5,False,1,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,200.0,none,0.5,0.0,,record.csv,False,,loss,avg_prob,,,20,87.08,100.0,88,73.46,8.49,75.15,8.78
cross_char_base1lang,Conv4,protonet,5,5,5,False,1,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,200.0,none,0.5,0.0,,record.csv,False,0.05,loss,avg_prob,,,20,87.08,100.0,88,77.24,8.52,78.77,8.53
cross_char_base1lang,Conv4,protonet,5,5,5,False,1,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,200.0,none,0.5,0.0,,record.csv,False,0.125,loss,avg_prob,,,20,87.08,100.0,88,77.26,8.57,78.89,8.52
cross_char_base1lang,Conv4,protonet,5,5,5,False,1,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,200.0,none,0.5,0.0,,record.csv,False,0.25,loss,avg_prob,,,20,87.08,100.0,88,77.18,8.66,78.69,8.47
cross_char_base1lang,Conv4,protonet,5,5,5,False,1,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,200.0,none,0.5,0.0,,record.csv,False,0.5,loss,avg_prob,,,20,87.08,100.0,88,76.95,8.6,78.4,8.39
cross_char_base1lang,Conv4,protonet,5,5,5,False,1,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,200.0,none,0.5,-1.0,,record.csv,False,,loss,avg_prob,,,20,87.08,100.0,88,64.84,9.51,67.83,10.13
