dataset,model,method,train_n_way,test_n_way,n_shot,train_aug,gpu_id,debug,image_size,recons_decoder,recons_lambda,aug_type,aug_target,vaegan_exp,vaegan_step,zvar_lambda,fake_prob,vaegan_is_train,dropout_p,dropout_block_id,more_to_drop,min_gram,gram_bid,lambda_gram,split,save_iter,target_bn,n_test_candidates,sample_strategy,test_dropout_p,test_dropout_bid,finetune_dropout_p,csv_name,adaptation,frac_ensemble,candidate_metric,ensemble_strategy,num_classes,source_val_acc,train_acc_mean,epoch,val_acc_mean,val_acc_std,novel_acc_mean,novel_acc_std
cross_base20cl,ResNet18,protonet,5.0,5.0,5.0,True,0,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,,none,,,,record.csv,False,,acc,vote,20.0,58.8625,89.5125,191.0,58.98,9.56,58.75,9.03
cross_base20cl,ResNet18,protonet,5.0,5.0,5.0,True,0,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,200.0,none,0.25,3.0,,record.csv,False,,loss,avg_prob,20.0,58.8625,89.5125,191.0,58.52,9.66,58.86,8.82
cross_base20cl,ResNet18,protonet,5.0,5.0,5.0,True,0,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,200.0,none,0.25,3.0,,record.csv,False,0.05,loss,avg_prob,20.0,58.8625,89.5125,191.0,59.14,9.53,59.05,8.81
cross_base20cl,ResNet18,protonet,5.0,5.0,5.0,True,0,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,200.0,none,0.25,3.0,,record.csv,False,0.125,loss,avg_prob,20.0,58.8625,89.5125,191.0,59.11,9.56,58.89,8.97
cross_base20cl,ResNet18,protonet,5.0,5.0,5.0,True,0,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,200.0,none,0.25,3.0,,record.csv,False,0.25,loss,avg_prob,20.0,58.8625,89.5125,191.0,59.05,9.49,58.9,8.99
cross_base20cl,ResNet18,protonet,5.0,5.0,5.0,True,0,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,200.0,none,0.25,3.0,,record.csv,False,0.5,loss,avg_prob,20.0,58.8625,89.5125,191.0,59.07,9.55,58.9,9.02
cross_base20cl,ResNet18,protonet,5.0,5.0,5.0,True,0,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,200.0,none,0.25,0.0,,record.csv,False,,loss,avg_prob,20.0,58.8625,89.5125,191.0,56.67,9.71,57.05,9.09
cross_base20cl,ResNet18,protonet,5.0,5.0,5.0,True,0,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,200.0,none,0.25,0.0,,record.csv,False,0.05,loss,avg_prob,20.0,58.8625,89.5125,191.0,61.3,9.65,62.06,8.82
cross_base20cl,ResNet18,protonet,5.0,5.0,5.0,True,0,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,200.0,none,0.25,0.0,,record.csv,False,0.125,loss,avg_prob,20.0,58.8625,89.5125,191.0,61.81,9.61,62.44,8.78
cross_base20cl,ResNet18,protonet,5.0,5.0,5.0,True,0,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,200.0,none,0.25,0.0,,record.csv,False,0.25,loss,avg_prob,20.0,58.8625,89.5125,191.0,61.91,9.52,62.54,8.69
cross_base20cl,ResNet18,protonet,5.0,5.0,5.0,True,0,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,200.0,none,0.25,0.0,,record.csv,False,0.5,loss,avg_prob,20.0,58.8625,89.5125,191.0,61.88,9.7,62.45,8.82
cross_base20cl,ResNet18,protonet,5.0,5.0,5.0,True,0,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,200.0,none,0.25,-1.0,,record.csv,False,,loss,avg_prob,20.0,58.8625,89.5125,191.0,53.92,9.66,54.6,8.95
cross_base20cl,ResNet18,protonet,5.0,5.0,5.0,True,0,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,200.0,none,0.25,-1.0,,record.csv,False,0.05,loss,avg_prob,20.0,58.8625,89.5125,191.0,61.38,9.88,62.36,8.59
cross_base20cl,ResNet18,protonet,5.0,5.0,5.0,True,0,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,200.0,none,0.25,-1.0,,record.csv,False,0.125,loss,avg_prob,20.0,58.8625,89.5125,191.0,61.93,9.59,62.79,8.7
cross_base20cl,ResNet18,protonet,5.0,5.0,5.0,True,0,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,200.0,none,0.25,-1.0,,record.csv,False,0.25,loss,avg_prob,20.0,58.8625,89.5125,191.0,62.14,9.65,63.06,8.7
cross_base20cl,ResNet18,protonet,5.0,5.0,5.0,True,0,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,200.0,none,0.25,-1.0,,record.csv,False,0.5,loss,avg_prob,20.0,58.8625,89.5125,191.0,62.05,9.6,62.97,8.69
cross_base20cl,ResNet18,protonet,5.0,5.0,5.0,True,0,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,200.0,none,0.5,3.0,,record.csv,False,,loss,avg_prob,20.0,58.8625,89.5125,191.0,57.49,9.74,57.67,9.1
cross_base20cl,ResNet18,protonet,5.0,5.0,5.0,True,0,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,200.0,none,0.5,3.0,,record.csv,False,0.05,loss,avg_prob,20.0,58.8625,89.5125,191.0,58.83,9.61,59.07,8.87
cross_base20cl,ResNet18,protonet,5.0,5.0,5.0,True,0,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,200.0,none,0.5,3.0,,record.csv,False,0.125,loss,avg_prob,20.0,58.8625,89.5125,191.0,59.01,9.62,59.15,8.94
cross_base20cl,ResNet18,protonet,5.0,5.0,5.0,True,0,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,200.0,none,0.5,3.0,,record.csv,False,0.25,loss,avg_prob,20.0,58.8625,89.5125,191.0,59.07,9.57,59.14,8.98
cross_base20cl,ResNet18,protonet,5.0,5.0,5.0,True,0,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,200.0,none,0.5,3.0,,record.csv,False,0.5,loss,avg_prob,20.0,58.8625,89.5125,191.0,59.12,9.51,59.02,9.02
cross_base20cl,ResNet18,protonet,5.0,5.0,5.0,True,0,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,200.0,none,0.5,0.0,,record.csv,False,,loss,avg_prob,20.0,58.8625,89.5125,191.0,53.21,10.07,53.83,9.16
cross_base20cl,ResNet18,protonet,5.0,5.0,5.0,True,0,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,200.0,none,0.5,0.0,,record.csv,False,0.05,loss,avg_prob,20.0,58.8625,89.5125,191.0,60.83,9.86,61.95,9.02
cross_base20cl,ResNet18,protonet,5.0,5.0,5.0,True,0,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,200.0,none,0.5,0.0,,record.csv,False,0.125,loss,avg_prob,20.0,58.8625,89.5125,191.0,61.5,9.94,62.68,8.73
cross_base20cl,ResNet18,protonet,5.0,5.0,5.0,True,0,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,200.0,none,0.5,0.0,,record.csv,False,0.25,loss,avg_prob,20.0,58.8625,89.5125,191.0,61.71,9.91,62.75,8.92
cross_base20cl,ResNet18,protonet,5.0,5.0,5.0,True,0,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,200.0,none,0.5,0.0,,record.csv,False,0.5,loss,avg_prob,20.0,58.8625,89.5125,191.0,61.63,9.84,62.72,8.88
cross_base20cl,ResNet18,protonet,5.0,5.0,5.0,True,0,False,,,0.0,,,,,,,False,0.0,3.0,,,,,novel,-1.0,False,200.0,none,0.5,-1.0,,record.csv,False,,loss,avg_prob,20.0,58.8625,89.5125,191.0,45.17,9.25,45.08,8.77
